nodes,experiment,case,design,load,reason,source_path
64,global_ur_latency,TOPO-UR_n64_s202701_m220_PFAT64_top8,PFAT64,220,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m240_PFAT64_top8,PFAT64,240,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m260_PFAT64_top8,PFAT64,260,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m280_PFAT64_top8,PFAT64,280,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m300_PFAT64_top8,PFAT64,300,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m320_PFAT64_top8,PFAT64,320,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m340_PFAT64_top8,PFAT64,340,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m360_PFAT64_top8,PFAT64,360,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m380_PFAT64_top8,PFAT64,380,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m400_PFAT64_top8,PFAT64,400,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m420_PFAT64_top8,PFAT64,420,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m440_PFAT64_top8,PFAT64,440,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m460_PFAT64_top8,PFAT64,460,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m480_PFAT64_top8,PFAT64,480,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m500_PFAT64_top8,PFAT64,500,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m600_PFAT64_top8,PFAT64,600,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m700_PFAT64_top8,PFAT64,700,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m800_PFAT64_top8,PFAT64,800,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m200_PROP_temp64_top16,PROP_temp64,200,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m220_PROP_temp64_top16,PROP_temp64,220,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m380_PROP_temp64_top16,PROP_temp64,380,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m400_PROP_temp64_top16,PROP_temp64,400,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m440_PROP_temp64_top16,PROP_temp64,440,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m460_PROP_temp64_top16,PROP_temp64,460,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m480_PROP_temp64_top16,PROP_temp64,480,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m500_PROP_temp64_top16,PROP_temp64,500,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m600_PROP_temp64_top16,PROP_temp64,600,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m700_PROP_temp64_top16,PROP_temp64,700,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,global_ur_latency,TOPO-UR_n64_s202701_m800_PROP_temp64_top16,PROP_temp64,800,"valid throughput point, but saturated/censored or not eligible for positive latency claim",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64,static4,TOPO-UR_n64_s202701_m160_PROP_temp64_top16,PROP_temp64_static4,160,selection probe or not a predeclared paper point; not included in main evidence CSV,DATE paper\experiments\raw\paper64\compact64_20260916_193802\static_acceptance.csv
64,static4,TOPO-UR_n64_s202701_m220_PROP_temp64_top16,PROP_temp64_static4,220,selection probe or not a predeclared paper point; not included in main evidence CSV,DATE paper\experiments\raw\paper64\compact64_20260916_193802\static_acceptance.csv
64,static4,TOPO-UR_n64_s202701_m280_PROP_temp64_top16,PROP_temp64_static4,280,selection probe or not a predeclared paper point; not included in main evidence CSV,DATE paper\experiments\raw\paper64\compact64_20260916_193802\static_acceptance.csv
64,static4,TOPO-UR_n64_s202701_m340_PROP_temp64_top16,PROP_temp64_static4,340,selection probe or not a predeclared paper point; not included in main evidence CSV,DATE paper\experiments\raw\paper64\compact64_20260916_193802\static_acceptance.csv
64,multicast,MC-REGION-F16_n64_s202701_m60_PROP_temp64_top16,native,M60/F16,censored stress or outside the accepted F2/F16/F32 paired clean matrix,DATE paper\experiments\raw\paper64\compact64_20260916_193802\multicast_acceptance.csv
64,multicast,MC-REGION-F16_n64_s202701_m60_source_repeated_unicast_top16,source_repeated_unicast,M60/F16,censored stress or outside the accepted F2/F16/F32 paired clean matrix,DATE paper\experiments\raw\paper64\compact64_20260916_193802\multicast_acceptance.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m50_PROP_temp256_m16_top0,PROP_temp256_m16,50,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m50_FM256_top0,FM256,50,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m90_PROP_temp256_m16_top0,PROP_temp256_m16,90,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m90_FM256_top0,FM256,90,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m110_PROP_temp256_m16_top0,PROP_temp256_m16,110,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m110_FM256_top0,FM256,110,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m140_PROP_temp256_m16_top0,PROP_temp256_m16,140,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m140_FM256_top0,FM256,140,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m180_PROP_temp256_m16_top0,PROP_temp256_m16,180,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m180_FM256_top0,FM256,180,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m200_PROP_temp256_m16_top0,PROP_temp256_m16,200,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m200_FM256_top0,FM256,200,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m240_PROP_temp256_m16_top0,PROP_temp256_m16,240,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m240_FM256_top0,FM256,240,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m280_PROP_temp256_m16_top0,PROP_temp256_m16,280,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m280_FM256_top0,FM256,280,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m320_PROP_temp256_m16_top0,PROP_temp256_m16,320,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m320_FM256_top0,FM256,320,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m400_PROP_temp256_m16_top0,PROP_temp256_m16,400,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m400_FM256_top0,FM256,400,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m600_PROP_temp256_m16_top0,PROP_temp256_m16,600,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,global_ur_latency,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m600_FM256_top0,FM256,600,full-drain PASS but point is censored or outside shared near-lossless set,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256,locality_m120,LOCALITY256_compact256_repair_20260918_123846_m120_p0p9_PROP_temp256_m16_top0,PROP_temp256_m16,M120 p=0.9,not part of a fully paired near-lossless/ paper-eligible point,DATE paper\experiments\raw\paper256\compact256_repair_20260918_123846\acceptance_e3_m120.csv
256,locality_m120,LOCALITY256_compact256_repair_20260918_123846_m120_p0p9_FM256_top0,FM256,M120 p=0.9,not part of a fully paired near-lossless/ paper-eligible point,DATE paper\experiments\raw\paper256\compact256_repair_20260918_123846\acceptance_e3_m120.csv
256,f16_cross_tier_2tile,MC-F16-2TILE_compact256_repair_20260918_123846_m40_native_PROP_temp256_m16_top0,Native,40,censored stress or not paper eligible; excluded from positive comparison,DATE paper\experiments\raw\paper256\compact256_repair_20260918_123846\acceptance_e2_f16_2tile.csv
256,f16_cross_tier_2tile,MC-F16-2TILE_compact256_repair_20260918_123846_m40_repeated_PROP_temp256_m16_top0,Repeated,40,censored stress or not paper eligible; excluded from positive comparison,DATE paper\experiments\raw\paper256\compact256_repair_20260918_123846\acceptance_e2_f16_2tile.csv
